model_key,Model,RMSE,MAE,Precision@10,Recall@10,Kataloq əhatəsi,k_factors,epochs,Ayar
popularity,Populyarlıq (baza model),0.8881857935927063,0.7181192357776436,0.07586206896551724,0.19981937602627256,0.135,,,-
item_cf,Əməkdaşlıq süzgəci (Item-CF),0.7907685176013878,0.6222033639711746,0.05448275862068965,0.18513957307060755,0.88,,,-
svd,SVD (matris faktorizasiyası),0.8467848124506242,0.6710049661307768,0.042068965517241375,0.13351395730706073,0.14,20.0,20.0,tapşırıq (20 epoch)
svd_tuned,SVD - tənzimlənmiş (100 epoch),0.7983468012814645,0.6265781630462284,0.057241379310344835,0.18451559934318554,0.525,50.0,100.0,tənzimlənmiş (100 epoch)
